"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"信用取引貸付金","2416000000",NA,"2019-03-31","LoansOnMarginTransactionsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引借証券担保金","104000000",NA,"2018-03-31","CashCollateralPledgedForSecuritiesBorrowingOnMarginTransactionsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"信用取引借証券担保金","94000000",NA,"2019-03-31","CashCollateralPledgedForSecuritiesBorrowingOnMarginTransactionsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"立替金","6000000",NA,"2018-03-31","AdvancesPaidCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"立替金","7000000",NA,"2019-03-31","AdvancesPaidCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"短期差入保証金","11000000",NA,"2018-03-31","ShortTermGuaranteeDepositsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"短期差入保証金","11000000",NA,"2019-03-31","ShortTermGuaranteeDepositsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"未収入金","90000000",NA,"2018-03-31","AccountsReceivableOther","Prior1YearInstant","ConsolidatedBalanceSheet"
"未収入金","271000000",NA,"2019-03-31","AccountsReceivableOther","CurrentYearInstant","ConsolidatedBalanceSheet"
"未収収益","371000000",NA,"2018-03-31","AccruedIncome","Prior1YearInstant","ConsolidatedBalanceSheet"
"未収収益","347000000",NA,"2019-03-31","AccruedIncome","CurrentYearInstant","ConsolidatedBalanceSheet"
"その他","44000000",NA,"2018-03-31","OtherCA","Prior1YearInstant","ConsolidatedBalanceSheet"
"その他","117000000",NA,"2019-03-31","OtherCA","CurrentYearInstant","ConsolidatedBalanceSheet"
"貸倒引当金","-3000000",NA,"2018-03-31","AllowanceForDoubtfulAccountsCA","Prior1YearInstant","ConsolidatedBalanceSheet"
"貸倒引当金","-1000000",NA,"2019-03-31","AllowanceForDoubtfulAccountsCA","CurrentYearInstant","ConsolidatedBalanceSheet"
"流動資産","59761000000",NA,"2018-03-31","CurrentAssets","Prior1YearInstant","ConsolidatedBalanceSheet"
"流動資産","54557000000",NA,"2019-03-31","CurrentAssets","CurrentYearInstant","ConsolidatedBalanceSheet"
"有形固定資産","5574000000",NA,"2018-03-31","PropertyPlantAndEquipment","Prior1YearInstant","ConsolidatedBalanceSheet"
"有形固定資産","1966000000",NA,"2019-03-31","PropertyPlantAndEquipment","CurrentYearInstant","ConsolidatedBalanceSheet"
"建物","708000000",NA,"2018-03-31","Buildings","Prior1YearInstant","ConsolidatedBalanceSheet"
"建物","423000000",NA,"2019-03-31","Buildings","CurrentYearInstant","ConsolidatedBalanceSheet"
"車両運搬具","11000000",NA,"2018-03-31","Vehicles","Prior1YearInstant","ConsolidatedBalanceSheet"
"車両運搬具","7000000",NA,"2019-03-31","Vehicles","CurrentYearInstant","ConsolidatedBalanceSheet"
"器具備品","356000000",NA,"2018-03-31","EquipmentPPESEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"器具備品","347000000",NA,"2019-03-31","EquipmentPPESEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"土地","4497000000",NA,"2018-03-31","Land","Prior1YearInstant","ConsolidatedBalanceSheet"
"土地","1187000000",NA,"2019-03-31","Land","CurrentYearInstant","ConsolidatedBalanceSheet"
"無形固定資産","67000000",NA,"2018-03-31","IntangibleAssets","Prior1YearInstant","ConsolidatedBalanceSheet"
"無形固定資産","85000000",NA,"2019-03-31","IntangibleAssets","CurrentYearInstant","ConsolidatedBalanceSheet"
"ソフトウエア","43000000",NA,"2018-03-31","Software","Prior1YearInstant","ConsolidatedBalanceSheet"
"ソフトウエア","62000000",NA,"2019-03-31","Software","CurrentYearInstant","ConsolidatedBalanceSheet"
"その他","23000000",NA,"2018-03-31","OtherIA","Prior1YearInstant","ConsolidatedBalanceSheet"
"その他","23000000",NA,"2019-03-31","OtherIA","CurrentYearInstant","ConsolidatedBalanceSheet"
"投資その他の資産","7569000000",NA,"2018-03-31","InvestmentsAndOtherAssets","Prior1YearInstant","ConsolidatedBalanceSheet"
"投資その他の資産","11289000000",NA,"2019-03-31","InvestmentsAndOtherAssets","CurrentYearInstant","ConsolidatedBalanceSheet"
"投資有価証券","6197000000",NA,"2018-03-31","InvestmentSecurities","Prior1YearInstant","ConsolidatedBalanceSheet"
"投資有価証券","10260000000",NA,"2019-03-31","InvestmentSecurities","CurrentYearInstant","ConsolidatedBalanceSheet"
"長期貸付金","3000000",NA,"2018-03-31","LongTermLoansReceivable","Prior1YearInstant","ConsolidatedBalanceSheet"
"長期貸付金","1000000",NA,"2019-03-31","LongTermLoansReceivable","CurrentYearInstant","ConsolidatedBalanceSheet"
"差入保証金","458000000",NA,"2018-03-31","GuaranteeDepositsIOA","Prior1YearInstant","ConsolidatedBalanceSheet"
"差入保証金","446000000",NA,"2019-03-31","GuaranteeDepositsIOA","CurrentYearInstant","ConsolidatedBalanceSheet"
"退職給付に係る資産","514000000",NA,"2018-03-31","NetDefinedBenefitAsset","Prior1YearInstant","ConsolidatedBalanceSheet"
"退職給付に係る資産","449000000",NA,"2019-03-31","NetDefinedBenefitAsset","CurrentYearInstant","ConsolidatedBalanceSheet"
"繰延税金資産","26000000",NA,"2018-03-31","DeferredTaxAssetsIOA","Prior1YearInstant","ConsolidatedBalanceSheet"
"繰延税金資産","3000000",NA,"2019-03-31","DeferredTaxAssetsIOA","CurrentYearInstant","ConsolidatedBalanceSheet"
"その他","402000000",NA,"2018-03-31","OtherIOA","Prior1YearInstant","ConsolidatedBalanceSheet"
"その他","162000000",NA,"2019-03-31","OtherIOA","CurrentYearInstant","ConsolidatedBalanceSheet"
"貸倒引当金","-34000000",NA,"2018-03-31","AllowanceForDoubtfulAccountsIOAByGroup","Prior1YearInstant","ConsolidatedBalanceSheet"
"貸倒引当金","-34000000",NA,"2019-03-31","AllowanceForDoubtfulAccountsIOAByGroup","CurrentYearInstant","ConsolidatedBalanceSheet"
"固定資産","13211000000",NA,"2018-03-31","NoncurrentAssets","Prior1YearInstant","ConsolidatedBalanceSheet"
"固定資産","13341000000",NA,"2019-03-31","NoncurrentAssets","CurrentYearInstant","ConsolidatedBalanceSheet"
"資産","72972000000",NA,"2018-03-31","Assets","Prior1YearInstant","ConsolidatedBalanceSheet"
"資産","67898000000",NA,"2019-03-31","Assets","CurrentYearInstant","ConsolidatedBalanceSheet"
"トレーディング商品",NA,NA,"2018-03-31","TradingProductsCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"トレーディング商品","6000000",NA,"2019-03-31","TradingProductsCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"デリバティブ取引",NA,NA,"2018-03-31","DerivativesCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"デリバティブ取引","6000000",NA,"2019-03-31","DerivativesCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引負債","252000000",NA,"2018-03-31","MarginTransactionLiabilitiesCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"信用取引負債","557000000",NA,"2019-03-31","MarginTransactionLiabilitiesCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引借入金","123000000",NA,"2018-03-31","BorrowingsOnMarginTransactionsCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"信用取引借入金","362000000",NA,"2019-03-31","BorrowingsOnMarginTransactionsCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引貸証券受入金","129000000",NA,"2018-03-31","CashReceivedForSecuritiesLendingOnMarginTransactionsCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"信用取引貸証券受入金","194000000",NA,"2019-03-31","CashReceivedForSecuritiesLendingOnMarginTransactionsCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"預り金","10407000000",NA,"2018-03-31","DepositsReceivedCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"預り金","9632000000",NA,"2019-03-31","DepositsReceivedCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"受入保証金","705000000",NA,"2018-03-31","GuaranteeDepositsReceivedCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"受入保証金","439000000",NA,"2019-03-31","GuaranteeDepositsReceivedCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"有価証券等受入未了勘定","1000000",NA,"2018-03-31","AccountsForNonReceivedSecuritiesAndOthersCLSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"有価証券等受入未了勘定","9000000",NA,"2019-03-31","AccountsForNonReceivedSecuritiesAndOthersCLSEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"短期借入金","11325000000",NA,"2018-03-31","ShortTermLoansPayable","Prior1YearInstant","ConsolidatedBalanceSheet"
"短期借入金","8850000000",NA,"2019-03-31","ShortTermLoansPayable","CurrentYearInstant","ConsolidatedBalanceSheet"
"未払法人税等","582000000",NA,"2018-03-31","IncomeTaxesPayable","Prior1YearInstant","ConsolidatedBalanceSheet"
"未払法人税等","52000000",NA,"2019-03-31","IncomeTaxesPayable","CurrentYearInstant","ConsolidatedBalanceSheet"
"賞与引当金","272000000",NA,"2018-03-31","ProvisionForBonuses","Prior1YearInstant","ConsolidatedBalanceSheet"
"賞与引当金","222000000",NA,"2019-03-31","ProvisionForBonuses","CurrentYearInstant","ConsolidatedBalanceSheet"
"その他","241000000",NA,"2018-03-31","OtherCL","Prior1YearInstant","ConsolidatedBalanceSheet"
"その他","163000000",NA,"2019-03-31","OtherCL","CurrentYearInstant","ConsolidatedBalanceSheet"
"流動負債","23788000000",NA,"2018-03-31","CurrentLiabilities","Prior1YearInstant","ConsolidatedBalanceSheet"
"流動負債","19934000000",NA,"2019-03-31","CurrentLiabilities","CurrentYearInstant","ConsolidatedBalanceSheet"
"長期借入金","1000000000",NA,"2018-03-31","LongTermLoansPayable","Prior1YearInstant","ConsolidatedBalanceSheet"
"長期借入金","1500000000",NA,"2019-03-31","LongTermLoansPayable","CurrentYearInstant","ConsolidatedBalanceSheet"
"長期未払金","430000000",NA,"2018-03-31","LongTermAccountsPayableOther","Prior1YearInstant","ConsolidatedBalanceSheet"
"長期未払金","429000000",NA,"2019-03-31","LongTermAccountsPayableOther","CurrentYearInstant","ConsolidatedBalanceSheet"
"繰延税金負債","246000000",NA,"2018-03-31","DeferredTaxLiabilitiesNCL","Prior1YearInstant","ConsolidatedBalanceSheet"
"繰延税金負債","175000000",NA,"2019-03-31","DeferredTaxLiabilitiesNCL","CurrentYearInstant","ConsolidatedBalanceSheet"
"退職給付に係る負債","57000000",NA,"2018-03-31","NetDefinedBenefitLiability","Prior1YearInstant","ConsolidatedBalanceSheet"
"退職給付に係る負債","34000000",NA,"2019-03-31","NetDefinedBenefitLiability","CurrentYearInstant","ConsolidatedBalanceSheet"
"その他","90000000",NA,"2018-03-31","OtherNCL","Prior1YearInstant","ConsolidatedBalanceSheet"
"その他",NA,NA,"2019-03-31","OtherNCL","CurrentYearInstant","ConsolidatedBalanceSheet"
"固定負債","1825000000",NA,"2018-03-31","NoncurrentLiabilities","Prior1YearInstant","ConsolidatedBalanceSheet"
"固定負債","2139000000",NA,"2019-03-31","NoncurrentLiabilities","CurrentYearInstant","ConsolidatedBalanceSheet"
"金融商品取引責任準備金","20000000",NA,"2018-03-31","ReserveForFinancialProductsTransactionLiabilitiesReservesUnderTheSpecialLawsSEC","Prior1YearInstant","ConsolidatedBalanceSheet"
