"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"受取手数料","3955546000","2017-04-01","2018-03-31","BrokerageIncomeORCMD","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"受取手数料","3394152000","2018-04-01","2019-03-31","BrokerageIncomeORCMD","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"売買損益","119329000","2017-04-01","2018-03-31","NetGainOnTradingORCMD","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"売買損益","143997000","2018-04-01","2019-03-31","NetGainOnTradingORCMD","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"営業収益","4074876000","2017-04-01","2018-03-31","OperatingRevenueCMD","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"営業収益","3538149000","2018-04-01","2019-03-31","OperatingRevenueCMD","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"人件費","1828917000","2017-04-01","2018-03-31","PersonalExpensesSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"人件費","1674986000","2018-04-01","2019-03-31","PersonalExpensesSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"広告宣伝費","822822000","2017-04-01","2018-03-31","AdvertisingExpensesSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"広告宣伝費","680766000","2018-04-01","2019-03-31","AdvertisingExpensesSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"旅費及び交通費","129276000","2017-04-01","2018-03-31","TravelingAndTransportationExpensesSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"旅費及び交通費","111991000","2018-04-01","2019-03-31","TravelingAndTransportationExpensesSGA","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"取引所関係費","65109000","2017-04-01","2018-03-31","ExchangeRelatedExpensesSGACMD","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
"取引所関係費","56785000","2018-04-01","2019-03-31","ExchangeRelatedExpensesSGACMD","CurrentYearDuration_NonConsolidatedMember","StatementOfIncome"
"通信費","74408000","2017-04-01","2018-03-31","CommunicationExpensesSGA","Prior1YearDuration_NonConsolidatedMember","StatementOfIncome"
