"elementId","labelString"
"jppfs_cor_InterestExpensesPaidOpeCFFinCF","利息の支払額"
"jppfs_cor_CompensationForDamagePaidOpeCF","損害賠償金の支払額"
"jppfs_cor_IncomeTaxesPaidOpeCF","法人税等の支払額"
"jppfs_cor_NetCashProvidedByUsedInOperatingActivities","営業活動によるキャッシュ・フロー"
"jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract","投資活動によるキャッシュ・フロー"
"jppfs_cor_PurchaseOfShortTermInvestmentSecuritiesInvCF","有価証券の取得による支出"
"jppfs_cor_ProceedsFromSalesOfShortTermInvestmentSecuritiesInvCF","有価証券の売却による収入"
"jppfs_cor_PurchaseOfPropertyPlantAndEquipmentInvCF","有形固定資産の取得による支出"
"jppfs_cor_ProceedsFromSalesOfPropertyPlantAndEquipmentInvCF","有形固定資産の売却による収入"
"jppfs_cor_PurchaseOfInvestmentSecuritiesInvCF","投資有価証券の取得による支出"
