"docID","edinetCode","filerName","secCode","periodEnd"
"S100GDA2","E00942","ロート製薬","45270","2019-03-31"
"S100GCXL","E01601","ＮＴＮ","64720","2019-03-31"
"S100GD24","E32198","アイドママーケティングコミュニケーション","94660","2019-03-31"
"S100GC2Y","E05621","クルーズ","21380","2019-03-31"
"S100GANK","E05432","フライトホールディングス","37530","2019-03-31"
"S100GDJK","E34704","あさくま","76780","2019-03-31"
"S100GCQH","E02024","フェローテックホールディングス","68900","2019-03-31"
"S100GCJE","E02287","セコニックホールディングス","77580","2019-03-31"
"S100GDJL","E31446","レントラックス","60450","2019-03-31"
"S100GC8Z","E01121","日本板硝子","52020","2019-03-31"
"S100GCLV","E04960","プラザクリエイト本社","75020","2019-03-31"
"S100GCQY","E32161","チエル","39330","2019-03-31"
"S100G8WV","E04251","共栄タンカー","91300","2019-03-31"
"S100G9BO","E34137","ベルテクスコーポレーション","52900","2019-03-31"
"S100GDIH","E01152","有沢製作所","52080","2019-03-31"
"S100GBU5","E01007","フマキラー","49980","2019-03-31"
"S100GC07","E01884","東芝テック","65880","2019-03-31"
"S100GD83","E32109","ヒロセ通商","71850","2019-03-31"
"S100G96K","E00207","北陸電気工事","19300","2019-03-31"
"S100GC9R","E34018","ライトアップ","65800","2019-03-31"
"S100GB9F","E34537","ポート","70470","2019-03-31"
"S100GDDX","E00545","マーチャント・バンカーズ","31210","2019-03-31"
"S100G96U","E31957","ダブルスタンダード","39250","2019-03-31"
"S100GDCN","E00518","ＲＩＺＡＰグループ","29280","2019-03-31"
"S100G5FW","E05269","ブロードメディア","43470","2019-03-31"
"S100GCXG","E05307","東北新社","23290","2019-03-31"
"S100GDL5","E34975","ブランディングテクノロジー","70670","2019-03-31"
"S100GCBJ","E31588","エコノス","31360","2019-03-31"
"S100GDK3","E02895","カーチスホールディングス","76020","2019-03-31"
"S100GCYP","E02329","長野計器","77150","2019-03-31"
"S100GCGZ","E05480","インターネットイニシアティブ","37740","2019-03-31"
"S100GCPC","E02161","曙ブレーキ工業","72380","2019-03-31"
"S100GCH9","E34082","ログリー","65790","2019-03-31"
"S100GD9L","E01569","千代田化工建設","63660","2019-03-31"
"S100GBD6","E00288","クレアホールディングス","17570","2019-03-31"
"S100GDDJ","E00550","ダイドーリミテッド","32050","2019-03-31"
"S100GDLJ","E00609","ＭＲＫホールディングス","99800","2019-03-31"
"S100GCO4","E33005","インターネットインフィニティー","65450","2019-03-31"
"S100GDBK","E02167","スズキ","72690","2019-03-31"
"S100GCIK","E05151","ネクストウェア","48140","2019-03-31"
"S100GDA8","E03801","ウェルス・マネジメント","37720","2019-03-31"
"S100GDMC","E03565","富山銀行","83650","2019-03-31"
"S100G7SE","E32204","丸八ホールディングス","35040","2019-03-31"
"S100GDMY","E32811","グレイステクノロジー","65410","2019-03-31"
"S100GDL7","E01474","ジャパンエンジンコーポレーション","60160","2019-03-31"
"S100GCNW","E01620","フリージア・マクロス","63430","2019-03-31"
